company_name,full_address ,city,state,zip_code,contact_phone,website_url
KidzToPros Summer Camp at Academy of Thought and Industry,"2690 Jackson St, San Francisco, CA 94115, USA",San Francisco,CA,94115,(877) 202-1554,https://www.kidztopros.com/locations/Academy-of-Thought-and-Industry-summer-camps-in-San-Francisco-US-CA?&utm_source=gmb&utm_medium=google&utm_campaign=summer_camp&utm_term=organic&utm_content=info-tab
Kidztopros Summer Camp at Lipman Middle School,"1 Solano St, Brisbane, CA 94005, USA",Brisbane,CA,94005,(877) 202-1554,https://www.kidztopros.com/locations/Lipman-Middle-summer-camps-in-Brisbane-US-CA
Kim's Kids Summer Camp,"180 7th Ave, Brooklyn, NY 11215, USA",Brooklyn,NY,11215,(718) 768-6419,https://www.kimskidscamp.com/
Kong Academy HQ,"2915 W Garfield St, Seattle, WA 98199, USA",Seattle,WA,98199,(206) 451-7385,http://www.kongacademy.org/
"La Petite Cuillère - Summer Camps, Private Lessons & Virtual Classes for all aspiring chefs!","122 W Portal Ave, San Francisco, CA 94127, USA",San Francisco,CA,94127,(415) 944-0034,https://www.lapetitesf.com/
Lake highlands Summer Camp and After School,"10675 E NW Hwy Suite 2900, Dallas, TX 75238, USA",Dallas,TX,75238,(214) 221-1977,https://www.lakehighlandssummercamp.com/
Legacy Summer Camps,"127 W 127th St, New York, NY 10027, USA",New York,NY,10027,(212) 381-6099,http://legacysummercamp.com/
Maker Studio Kids,"600a Octavia Blvd, San Francisco, CA 94102, USA",San Francisco,CA,94102,(415) 855-1073,http://www.makerstudiokidz.com/
MakerState STEM Summer Camp & STEM Makerspaces,"233 W 77th St Suite 1, New York, NY 10024, USA",New York,NY,10024,,https://maker-state.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google-My-Business
Manhattan Beach Summer Camp,"60 West End Ave, Brooklyn, NY 11235, USA",Brooklyn,NY,11235,(347) 788-8669,https://www.mbsummercamp.com/
Mariposa Kids,"1368 Potrero Ave, San Francisco, CA 94110, USA",San Francisco,CA,94110,(415) 323-0732,http://www.sfmariposakids.com/
Mariposa Kids,"3361 Mission St, San Francisco, CA 94110, USA",San Francisco,CA,94110,(415) 323-0732,https://www.sfmariposakids.com/
MB Sports Camps,"12431 Bristol Commons Cir, Tampa, FL 33626, USA",Tampa,FL,33626,(855) 962-7767,
Mill Basin Day Camp,"5945 Strickland Ave, Brooklyn, NY 11234, USA",Brooklyn,NY,11234,(718) 251-6200,https://www.millbasindaycamp.com/
Mohawk. Day .Camp,"200 Old Tarrytown Rd, White Plains, NY 10603, USA",White Plains,NY,10603,(914) 949-2635,https://www.campmohawk.com/
Natureversity Outdoor School,"420 Kemp St, Austin, TX 78741, USA",Austin,TX,78741,(512) 461-9395,http://www.natureversity.org/
Neuron Garage Camp at Magellan International,"2 Rooms, 7938 Great Northern Blvd, Austin, TX 78757, USA",Austin,TX,78757,(512) 593-5393,https://neurongarage.com/summer-camp-austin-tx/north-shoal-creek/
New Tampa Family YMCA,"16221 Compton Dr, Tampa, FL 33647, USA",Tampa,FL,33647,(813) 866-9622,http://www.tampaymca.org/
Next Level Camp for Boys,"173 Stratton Rd, New Rochelle, NY 10804, USA",New Rochelle,NY,10804,(914) 341-1488,https://nextlevelboyscamp.com/
Next Level Camp for Girls,"1354 North Ave, New Rochelle, NY 10804, USA",New Rochelle,NY,10804,(914) 341-1488,http://nextlevelgirlscamp.com/
NextGen Bootcamp: High School Coding Bootcamps,"185 Madison Ave 3rd floor, New York, NY 10016, USA",New York,NY,10016,(212) 226-0884,https://nextgenbootcamp.com/
Northwest Family YMCA,"8950 W Waters Ave, Tampa, FL 33615, USA",Tampa,FL,33615,(813) 249-8510,http://www.tampaymca.org/
Noteable Kids Center,"Greenwood Village, CO 80111, USA",Greenwood Village,CO,80111,(303) 840-5787,http://www.noteablekids.com/
NYC Kids Camps,"136 W 10th St, New York, NY 10014, USA",New York,NY,10014,(212) 255-1685,http://nyckidscamps.com/
Nyc Kids Camps,"134 W 10th St, New York, NY 10014, USA",New York,NY,10014,(212) 255-1685,https://www.nyckidscamps.com/
O2B Kids South Westshore,"4302 W Euclid Ave, Tampa, FL 33629, USA",Tampa,FL,33629,(813) 531-8955,https://www.o2bkids.com/locations/south-westshore-preschool/
Oasis Day Camp in Central Park,"795 Columbus Ave, New York, NY 10025, USA",New York,NY,10025,(646) 698-1800,https://www.oasischildren.com/central-park/
Packer Summer Day Camp,"170 Joralemon St, Brooklyn, NY 11201, USA",Brooklyn,NY,11201,(718) 250-0209,https://www.packer.edu/school-life/summer-camp
Parish Summer,"4101 Sigma Rd, Dallas, TX 75244, USA",Dallas,TX,75244,(972) 852-8752,http://www.parishplus.org/
Park South Family YMCA,"2500 Romine Ave, Dallas, TX 75215, USA",Dallas,TX,75215,(214) 421-5301,https://ymcadallas.org/locations/park-south-family-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp
Peak Performance Summer Camp,"500 Brushy Creek Rd #504a, Cedar Park, TX 78613, USA",Cedar Park,TX,78613,(512) 918-8921,http://www.cedarparksummercamp.com/
Peak Summer Camp & After School Program,"12421 Washington St, Thornton, CO 80241, USA",Thornton,CO,80241,(303) 908-4332,https://www.peaksummercamp.com/
Pedalheads Denver l Summer Camps,"3985 S Vincennes Ct, Denver, CO 80237, USA",Denver,CO,80237,,
Pierce Country Day Camp,"37 Mineola Ave, Roslyn, NY 11576, USA",Roslyn,NY,11576,(516) 621-2211,http://www.piercecamps.com/
Pinnacle Explorations Outdoor School,"3201 E Republican St, Seattle, WA 98112, USA",Seattle,WA,98112,(425) 610-9492,http://www.pinnacleexplorations.org/
Poly Summer Camp,"1 Poly Prep Dr, Brooklyn, NY 11228, USA",Brooklyn,NY,11228,(718) 836-9800,https://www.polysummer.org/?utm_source=google&utm_medium=local_listing&utm_campaign=local
Rain City Rock Camp,"117 E Louisa St #445, Seattle, WA 98102, USA",Seattle,WA,98102,(206) 596-5984,http://raincityrockcamp.org/about/contact/
Red Gate Farm Day Camp,"23836 SE 24th St, Sammamish, WA 98075, USA",Sammamish,WA,98075,(425) 392-0111,http://www.redgatefarmdaycamp.com/
Richardson's Best After School and Camps,"1980 Nantucket Dr, Richardson, TX 75080, USA",Richardson,TX,75080,(469) 347-2494,http://www.richardsonsbestafterschoolprogram.com/
Rocky Mountain Theatre For Kids Denver,"3425 S Broadway, Englewood, CO 80113, USA",Englewood,CO,80113,(303) 245-8150,http://www.theaterforkids.net/
Roughing It Day Camp,"936 Dewing Ave F, Lafayette, CA 94549, USA",Lafayette,CA,94549,(925) 283-3795,https://www.roughingit.com/
Run for Fun Camps,"418 Yerba Santa Ave, Los Altos, CA 94022, USA",Los Altos,CA,94022,(650) 823-5167,https://www.runforfuncamps.com/
sack day camp,"21 Walter U Lum Pl, San Francisco, CA 94108, USA",San Francisco,CA,94108,(415) 986-2578,http://www.sackdaycamp.com/
Safety Harbor's Best After School Program and Summer Camp,"1224 7th St S, Safety Harbor, FL 34695, USA",Safety Harbor,FL,34695,(727) 447-1079,https://www.safetyharborsbestafterschool.com/
SAMBICA: Summer Camp and Retreat Center,"4114 W Lake Sammamish Pkwy SE, Bellevue, WA 98008, USA",Bellevue,WA,98008,(425) 746-9110,http://www.sambica.com/
School Art Camp,"3104 N Armenia Ave, Tampa, FL 33607, USA",Tampa,FL,33607,(214) 399-8473,http://schoolartcamp.com/aboutus/
School of Acrobatics and New Circus Arts,"674 S Orcas St, Seattle, WA 98108, USA",Seattle,WA,98108,(206) 652-4433,http://sancaseattle.org/
School of Creative & Performing Arts [ SOCAPA ],"440 Lafayette St, New York, NY 10003, USA",New York,NY,10003,(800) 718-2787,http://www.socapa.org/
School of Wonder,"53 Prospect Park W #4, Brooklyn, NY 11215, USA",Brooklyn,NY,11215,,https://www.theschoolofwonder.com/
SF Dragons Soccer Camp,"7421 Geary Blvd, San Francisco, CA 94121, USA",San Francisco,CA,94121,(415) 350-9779,https://www.sfdragonssoccercamp.com/
Sherwood Forest Summer Camp,"1883 Old Hwy 20, McDade, TX 78650, USA",McDade,TX,78650,(512) 222-8570,https://www.sherwoodforestsummercamp.com/
Shibley Day Camp,"175 Warner Ave, Roslyn Heights, NY 11577, USA",Roslyn Heights,NY,11577,(516) 621-8777,https://www.shibleydaycamp.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing
Shorecrest Preparatory School Summer Camps,"Shorecrest Preparatory School, 5101 1st St NE, St. Petersburg, FL 33703, USA",St. Petersburg,FL,33703,(800) 336-2098,http://www.shorecrest.org/
Shwayder Camp,"51 Grape St, Denver, CO 80220, USA",Denver,CO,80220,(303) 388-4013,http://www.shwayder.com/
Sky Kids Camp & Immersion Program,"1187 Franklin St, San Francisco, CA 94109, USA",San Francisco,CA,94109,,http://www.sky-kids.org/
SMU Girls Soccer Camp,"5800 Ownby Dr, Dallas, TX 75205, USA",Dallas,TX,75205,(945) 230-4030,http://www.smusoccercamps.com/
South Austin Recreation Center,"1100 Cumberland Rd, Austin, TX 78704, USA",Austin,TX,78704,(512) 978-2440,http://www.austintexas.gov/department/south-austin-recreation-center
Southwest Family YMCA,"5181 W Kenyon Ave, Denver, CO 80236, USA",Denver,CO,80236,(720) 524-2758,https://www.denverymca.org/locations/southwest-family-ymca
Spanish Schoolhouse,"5242 Meadowcreek Dr, Dallas, TX 75248, USA",Dallas,TX,75248,(972) 838-1236,https://spanishschoolhouse.com/
Spartan Summer Camps at St. Stephens,"6500 St Stephens Dr, Austin, TX 78746, USA",Austin,TX,78746,(512) 327-1213,https://www.sstx.org/campus-life/summer-camps
SPREE Camps at Headquarters (HQ),"610 S Jason St, Denver, CO 80223, USA",Denver,CO,80223,(720) 306-8000,https://www.thegreenwayfoundation.org/spree-home-page.html
Spurlino Family YMCA at Big Bend Road,"9650 Old Big Bend Rd, Riverview, FL 33578, USA",Riverview,FL,33578,(813) 228-9622,https://www.tampaymca.org/locations/spurlino-family-ymca-big-bend-road
Spy Camp,"650 Florida St, San Francisco, CA 94110, USA",San Francisco,CA,94110,,
SRK Camp Lutz,"19502 Heritage Harbor Pkwy, Lutz, FL 33558, USA",Lutz,FL,33558,(813) 355-1720,http://www.srkcamp.com/
St. Christopher's Montessori School,"7900 Lovers Ln, Dallas, TX 75225, USA",Dallas,TX,75225,(214) 306-8244,http://www.scmsdallas.org/
Stargazer Day Camp,"4011 Fillmore Ave, Brooklyn, NY 11234, USA",Brooklyn,NY,11234,(347) 560-3469,http://www.stargazerdaycamp.com/
Steve & Kate's Camp - Austin,"9607 Brodie Ln, Austin, TX 78748, USA",Austin,TX,78748,(737) 270-7686,https://steveandkatescamp.com/austin/
Steve & Kate's Camp - Dallas,"5707 Royal Ln, Dallas, TX 75229, USA",Dallas,TX,75229,(972) 640-2383,https://steveandkatescamp.com/dallas/
Steve & Kate's Camp - Denver Curtis Park,"2500 Curtis Street, Denver, CO 80205, USA",Denver,CO,80205,(720) 399-5622,https://steveandkatescamp.com/denver-curtis-park/
Steve & Kate's Camp - Denver Park Hill,"1800 Pontiac St, Denver, CO 80220, USA",Denver,CO,80220,(720) 439-7785,https://steveandkatescamp.com/denver/
Steve & Kate's Camp - Greenwood Village TEMPORARILY CLOSED),"5859 S University Blvd, Greenwood Village, CO 80121, USA",Greenwood Village,CO,80121,(720) 248-6566,https://steveandkatescamp.com/greenwood-village/
Steve & Kate's Camp - North Austin,"300 E Huntland Dr, Austin, TX 78752, USA",Austin,TX,78752,(512) 881-2442,https://steveandkatescamp.com/austin-north/
Steve & Kate's Camp - Potrero Hill,"1555 Mariposa St, San Francisco, CA 94107, USA",San Francisco,CA,94107,(628) 204-4119,https://steveandkatescamp.com/sf-potrero-hill/
Steve & Kate's Camp - San Francisco - Cathedral Hill,"888 Turk St, San Francisco, CA 94102, USA",San Francisco,CA,94102,(415) 604-0081,https://steveandkatescamp.com/sf-cathedral-hill
Steve & Kate's Camp - Seattle Meadowbrook,"2728 NE 100th St, Seattle, WA 98125, USA",Seattle,WA,98125,(360) 587-7854,https://steveandkatescamp.com/seattle-meadowbrook/
Steve & Kate's Camp - SF Noe Valley,"625 Douglass St, San Francisco, CA 94114, USA",San Francisco,CA,94114,(415) 851-8581,https://steveandkatescamp.com/sf-noe-valley/
Steve & Kate's Camp at Blue School,"241 Water St, New York, NY 10038, USA",New York,NY,10038,(347) 227-0080,https://steveandkatescamp.com/manhattan-lower-manhattan
Summer at Hockaday,"11600 Welch Rd, Dallas, TX 75229, USA",Dallas,TX,75229,(214) 360-6534,http://www.hockaday.org/summer
Summer Camp at Lehman College,"Carman Hall 128, 250 Bedford Park Blvd W, Bronx, NY 10468, USA",250 Bedford Park Blvd W,NY,10468,(718) 960-8512,http://www.lehman.edu/academics/continuing-education/summer-camp.php
Summer Camp J at JCC on the Maureen and Doug Cohn Campus,"13009 Community Campus Dr, Tampa, FL 33625, USA",Tampa,FL,33625,(813) 264-9000,https://www.jcccohncampus.com/programs/camp-jcc
Summer Camp Program at HSArts,"1970 Page St, San Francisco, CA 94117, USA",San Francisco,CA,94117,(415) 431-3161,https://hsarts.info/summer_program
Summer Culinary,"1701 Broadway, Seattle, WA 98122, USA",Seattle,WA,98122,(718) 237-8758,https://summerculinary.com/campus-seattle/
Summer Fun Seattle,"7552 11th Ave NW, Seattle, WA 98117, USA",Seattle,WA,98117,(206) 499-5787,https://summerfunseattle.org/
SummerSault at The Town School,"540 E 76th St, New York, NY 10021, USA",New York,NY,10021,(212) 288-4383,https://www.summersaultnyc.org/
Sunset Lake Camp,"30811 Quinnon Rd, Wilkeson, WA 98396, USA",Wilkeson,WA,98396,(360) 829-0311,http://www.sunsetlake.org/
Super Kids Summer Camp,"1409 Richmond Ave, Staten Island, NY 10314, USA",Staten Island,NY,10314,(347) 960-6399,https://sisummercamp.com/
Sylvan Learning of Dallas & Highland Park,"10455 N Central Expy #105, Dallas, TX 75230, USA",Dallas,TX,75230,(469) 828-6523,https://sylvanlearning.com/locations/us/tx/dallas-tutoring/dallas-highland-park?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=398
Tampa Boy's Basketball Camps,"401 W Kennedy Blvd, Tampa, FL 33606, USA",Tampa,FL,33606,(813) 257-3781,https://tampabball.com/
Tech EdVentures Camp,"5707 Royal Ln, Dallas, TX 75229, USA",Dallas,TX,75229,(972) 905-1777,http://techedventures.com/
TechKnowHow Summer Tech Camps,"1291 E Hillsdale Blvd #201, Foster City, CA 94404, USA",Foster City,CA,94404,(650) 638-0500,https://techknowhowkids.com/
Teddy Dupay Basketball Academy,"302 W Kennedy Blvd, Tampa, FL 33606, USA",Tampa,FL,33606,(813) 518-8739,https://teddydupay.com/
The Black Academy of Arts and Letters,"650 S Griffin St, Dallas, TX 75202, USA",Dallas,TX,75202,(214) 743-2440,http://www.tbaal.org/
The Nest Schools Plano,"18303 Davenport Rd, Dallas, TX 75252, USA",Dallas,TX,75252,(469) 702-8860,https://thenestschool.com/locations/plano/
theCoderSchool,"8632 Hunters Village Rd, Tampa, FL 33647, USA",Tampa,FL,33647,(813) 422-5566,https://www.thecoderschool.com/locations/newtampa/?utm_source=gmb
Tinkering School,"682 Schofield Rd, San Francisco, CA 94129, USA",San Francisco,CA,94129,(415) 766-7647,http://www.tinkeringschool.com/
TnT Outdoor Adventures Summer Camp,"1756 Alki Ave SW, Seattle, WA 98116, USA",Seattle,WA,98116,(206) 375-5918,
Twin Lakes Family YMCA,"204 E Little Elm Trail, Cedar Park, TX 78613, USA",Cedar Park,TX,78613,(512) 250-9622,https://ymcactx.org/locations/cedar-park/
Urban Adventure Camps,"5701 Cabot Dr, Oakland, CA 94611, USA",Oakland,CA,94611,(510) 339-0676,http://www.urbanadventurecamps.com/
URJ Camp Kalsman,"3805 108th Ave NE # 100, Bellevue, WA 98004, USA",Bellevue,WA,98004,(425) 284-4484,https://campkalsman.org/
USF Office of Youth Experiences,"4202 E Fowler Ave LIB 618, Tampa, FL 33620, USA",Tampa,FL,33620,(813) 974-3355,https://usf.edu/yxp
West Seattle Summer Camps,"3940 41st Ave SW, Seattle, WA 98116, USA",Seattle,WA,98116,(206) 496-8877,http://islandtimeministries.com/
Westlake Chinese Academy,"6800 Spanish Oaks Club Blvd, Austin, TX 78738, USA",Austin,TX,78738,(737) 247-1533,https://www.westlakechineseacademy.org/camp
Wet & Wild Adventure Camp,"2008 Enfield Rd, Austin, TX 78703, USA",Austin,TX,78703,(512) 771-3188,https://wetwildcamp.com/
Wet & Wild Adventure Camp,"6001 Westcreek Dr, Austin, TX 78749, USA",Austin,TX,78749,(512) 771-3188,https://wetwildcamp.com/
White Rock North School,"9727 White Rock Trail, Dallas, TX 75238, USA",Dallas,TX,75238,(214) 348-7410,http://www.whiterocknorthschool.com/
Willow Montessori Academy,"2404 Empire Central Dr, Dallas, TX 75235, USA",Dallas,TX,75235,(214) 444-7009,http://www.willowmontessoriacademy.com/
Wise Camps,"12536 SE 70th St, Newcastle, WA 98056, USA",Newcastle,WA,98056,(425) 954-7208,http://www.wisecamps.org/
Wolf Camp and the Conservation College,"1026 14th St SW, Puyallup, WA 98371, USA",Puyallup,WA,98371,(425) 248-0253,http://www.wolfcollege.com/
Word of Life Florida Camps,"13247 Word of Life Dr, Hudson, FL 34669, USA",Hudson,FL,34669,(727) 379-5000,https://florida.wol.org/camps/
World of Discovery Summer Day Camp,"33rd Avenue &, 215th Pl, Bayside, NY 11360, USA",215th Pl,NY,11360,(718) 229-3037,http://worldofdiscovery.org/
Worldmind School,"1515 Race St, Denver, CO 80206, USA",Denver,CO,80206,(303) 970-9785,https://www.worldmindeducation.org/
Xplor Preschool of Carrollton,"2525 E Trinity Mls Rd, Carrollton, TX 75006, USA",Carrollton,TX,75006,(972) 895-7015,https://www.xplorpreschool.com/preschools/tx/dallas/carrollton/?utm_medium=directory&utm_source=gmb&utm_campaign=profile&utm_content=website
YMCA Camp Colman,"20016 Bay Rd SW, Longbranch, WA 98351, USA",Longbranch,WA,98351,(253) 884-3844,https://www.seattleymca.org/camp-colman?utm_source=google&utm_medium=organic&utm_campaign=business-listing&utm_content=colman
YMCA Camp Cristina,"9840 Balm Riverview Rd, Riverview, FL 33569, USA",Riverview,FL,33569,(813) 677-8400,https://www.tampaymca.org/locations/ymca-camp-cristina
YMCA Camp Lake Helena,"11606 Ranch Dr SW, Port Orchard, WA 98367, USA",Port Orchard,WA,98367,(360) 307-4099,http://ymcacamplakehelena.org/
YMCA Camp Moody,"1220 Old San Antonio Rd, Buda, TX 78610, USA",Buda,TX,78610,(512) 523-9640,https://www.austinymca.org/branches/y-camp-moody
YMCA Camp Round Rock,"298 W Old Bowman Rd, Round Rock, TX 78664, USA",Round Rock,TX,78664,(512) 246-9622,http://ymcactx.org/
YMCA Camp Seymour,"9725 Cramer Rd NW, Gig Harbor, WA 98329, USA",Gig Harbor,WA,98329,(253) 884-3392,http://www.campseymour.org/
YMCA Camp Terry,"31112 SE 85th Pl, Issaquah, WA 98027, USA",Issaquah,WA,98027,,http://www.seattleymca.org/
YMCA Camp Tumbleson Lake,"173 Co Rd 96, Ward, CO 80481, USA",Ward,CO,80481,(303) 459-1124,https://www.ymcanoco.org/camp-tumbleson-lake
YMCA Camp Twin Lakes,"Cedar Park, TX 78613, USA",Cedar Park,TX,78613,(512) 250-9622,https://ymcactx.org/locations/ymca-camp-twin-lakes/
YMCA Camping and Outdoor Leadership,"309 Pontius Ave N, Seattle, WA 98104, USA",Seattle,WA,98104,(206) 659-0231,https://www.seattleymca.org/programs/camp-and-outdoor-leadership
Young People's Day Camp of Queens,"224-21 76th Ave, Oakland Gardens, NY 11364, USA",Oakland Gardens,NY,11364,(800) 856-1043,https://ypdc.com/
Young Stars,"207 S Houston St #130c, Dallas, TX 75202, USA",Dallas,TX,75202,(214) 767-8888,https://www.kindercare.com/our-centers/dallas/tx/000782?utm_campaign=kc-lg&utm_source=yext&utm_medium=pro&utm_keyword=&utm_platform=&utm_matchtype=&utm_adgroupid=&utm_content=gmb&y_source=1_MzgwMzEzMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
YouthSF Lab,"438 Taraval St, San Francisco, CA 94116, USA",San Francisco,CA,94116,,https://www.youthsf.org/
